discoUso,porcentagemDisco,porcentagemCpu,ramUso,porcentagemRam,porcentagemBateria,hrCaptura,lote
227.05,47.7,28.6,8321.09,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,0.0,8321.09,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,18.8,8321.14,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,27.3,8321.09,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,21.4,8321.01,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,0.0,8321.01,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,31.2,8320.9,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,23.5,8320.96,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,15.4,8320.96,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,0.0,8320.94,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,43.8,8320.91,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,6.2,8321.2,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,6.7,8321.2,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,0.0,8320.57,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,18.8,8320.57,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,25.0,8320.77,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,14.3,8320.54,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,20.0,8320.34,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,9.1,8320.33,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,18.8,8320.39,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,12.5,8320.34,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,33.3,8320.21,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,0.0,8320.35,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,25.0,8317.65,71.5,100.0,22-05-2025 13:07:51,1
227.05,47.7,29.4,8317.85,71.5,100.0,22-05-2025 13:07:51,1
227.05,47.7,40.0,8317.74,71.5,100.0,22-05-2025 13:07:51,1
227.05,47.7,0.0,8317.8,71.5,100.0,22-05-2025 13:07:51,1
227.05,47.7,12.5,8318.8,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,18.8,8319.9,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,30.8,8320.68,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,0.0,8321.03,71.6,100.0,22-05-2025 13:07:51,1
227.05,47.7,37.5,8320.64,71.6,100.0,22-05-2025 13:07:51,1
