discoUso,porcentagemDisco,porcentagemCpu,ramUso,porcentagemRam,porcentagemBateria
227039539200,44.4,13.6,7860461568,64.5,88
227039539200,44.4,5.9,7861534720,64.5,88
227039539200,44.4,12.5,7861579776,64.5,88
227039539200,44.4,25.0,7861825536,64.5,88
227039539200,44.4,23.1,7861829632,64.5,88
227039539200,44.4,5.3,7862603776,64.5,88
227039539200,44.4,33.3,7863070720,64.5,88
227039539200,44.4,0.0,7863136256,64.5,88
227039539200,44.4,12.5,7863844864,64.5,88
227039539200,44.4,12.5,7863980032,64.5,88
227039539200,44.4,6.2,7864111104,64.5,88
227039539200,44.4,14.3,7864377344,64.5,88
227039539200,44.4,11.1,7864709120,64.5,88
227039539200,44.4,18.8,7864979456,64.5,88
227039539200,44.4,46.7,7864991744,64.5,88
227039539200,44.4,18.8,7865139200,64.5,88
227039539200,44.4,0.0,7865364480,64.5,88
227039539200,44.4,43.8,7865434112,64.5,88
227039539200,44.4,12.5,7865630720,64.5,88
227039539200,44.4,18.8,7866404864,64.5,88
227039539200,44.4,38.5,7866535936,64.5,88
227039539200,44.4,21.1,7866605568,64.5,88
227039539200,44.4,23.1,7866605568,64.5,88
227039539200,44.4,0.0,7866662912,64.5,88
227039539200,44.4,25.0,7866724352,64.5,88
227039539200,44.4,12.5,7866982400,64.5,88
227039539200,44.4,36.4,7866986496,64.5,88
227039539200,44.4,25.0,7867117568,64.5,88
227039539200,44.4,0.0,7867375616,64.5,88
227039539200,44.4,25.0,7868035072,64.5,88
227039539200,44.4,31.2,7868297216,64.5,88
227039539200,44.4,12.5,7868424192,64.5,88
227039539200,44.4,13.3,7868424192,64.5,88
227039539200,44.4,21.4,7868940288,64.5,88
227039539200,44.4,17.6,7869014016,64.5,88
227039539200,44.4,0.0,7869079552,64.5,88
227039539200,44.4,25.0,7869468672,64.6,88
227039539200,44.4,18.8,7869472768,64.6,88
227039543296,44.4,12.5,7869521920,64.6,88
227039543296,44.4,60.0,7857197056,64.4,88
227039543296,44.4,16.7,7857090560,64.4,88
227039543296,44.4,50.0,7857098752,64.4,88
227039543296,44.4,0.0,7857160192,64.5,88
227039543296,44.4,18.8,7857614848,64.5,88
227039543296,44.4,25.0,7858327552,64.5,88
227039543296,44.4,12.5,7859245056,64.5,88
227039543296,44.4,12.5,7858921472,64.5,88
227039543296,44.4,20.0,7862370304,64.5,88
227039543296,44.4,15.4,7860555776,64.5,88
227039543296,44.4,18.8,7860355072,64.5,88
227039543296,44.4,0.0,7860359168,64.5,88
227039543296,44.4,31.2,7860412416,64.5,88
227039543296,44.4,25.0,7871655936,64.6,88
227039543296,44.4,58.8,7872786432,64.5,88
227039543296,44.4,18.8,7859556352,64.5,88
227039543296,44.4,16.7,7859118080,64.5,88
227039543296,44.4,15.8,7858941952,64.5,88
227039543296,44.4,30.0,7858651136,64.5,88
227039543296,44.4,25.0,7860129792,64.5,88
227039543296,44.4,0.0,7859564544,64.5,88
227039543296,44.4,25.0,7859421184,64.5,88
227039543296,44.4,18.8,7860596736,64.5,88
227039543296,44.4,12.5,7860150272,64.5,88
227039543296,44.4,18.2,7859757056,64.5,88
227039543296,44.4,27.8,7860240384,64.5,88
227039543296,44.4,33.3,7859908608,64.5,88
227039543296,44.4,28.6,7860154368,64.5,88
227039543296,44.4,45.5,7859470336,64.5,88
227039543296,44.4,81.2,7859306496,64.5,88
227039543296,44.4,31.2,7858966528,64.5,88
227039608832,44.4,37.5,7859306496,64.5,88
227039608832,44.4,18.8,7858970624,64.5,88
227039608832,44.4,18.8,7858626560,64.5,88
227039608832,44.4,16.7,7858622464,64.5,88
227039608832,44.4,35.7,7858606080,64.5,88
227039608832,44.4,0.0,7858606080,64.5,88
227039608832,44.4,25.0,7858667520,64.5,88
227039608832,44.4,37.5,7858671616,64.5,88
227039608832,44.4,7.1,7858667520,64.5,88
227039608832,44.4,7.1,7858667520,64.5,88
227039608832,44.4,44.4,7858675712,64.5,88
227039608832,44.4,0.0,7858671616,64.5,88
227039608832,44.4,6.2,7858651136,64.5,88
227039674368,44.4,9.1,7858647040,64.5,88
227039674368,44.4,6.2,7859109888,64.5,88
227039674368,44.4,23.1,7859101696,64.5,88
227039674368,44.4,0.0,7859109888,64.5,88
227039674368,44.4,12.5,7859113984,64.5,88
227039674368,44.4,25.0,7859585024,64.5,88
227039674368,44.4,40.0,7859789824,64.5,88
227039674368,44.4,23.1,7859785728,64.5,88
227039674368,44.4,20.0,7859785728,64.5,88
227039674368,44.4,0.0,7859785728,64.5,88
227039674368,44.4,12.5,7859904512,64.5,88
227039674368,44.4,12.5,7860371456,64.5,88
227039674368,44.4,15.4,7860412416,64.5,88
227039674368,44.4,33.3,7860412416,64.5,88
227039674368,44.4,17.6,7860641792,64.5,88
227039674368,44.4,0.0,7861096448,64.5,88
227039674368,44.4,17.6,7861723136,64.5,88
227039674368,44.4,6.2,7861723136,64.5,88
